key,value,date
Blue,0.83,12/28/17 5:14
Blue,0.56,12/28/17 5:29
Blue,0.59,12/28/17 5:44
Blue,0.63,12/28/17 5:59
Blue,0.59,12/28/17 6:14
Blue,0.57,12/28/17 6:29
Blue,0.63,12/28/17 6:44
Blue,0.55,12/28/17 6:59
Blue,0.57,12/28/17 7:14
Blue,0.62,12/28/17 7:29
Blue,0.56,12/28/17 7:44
Blue,0.57,12/28/17 7:59
Blue,0.65,12/28/17 8:14
Blue,0.68,12/28/17 8:29
Blue,0.63,12/28/17 8:44
Blue,0.60,12/28/17 8:59
Blue,0.61,12/28/17 9:14
Blue,0.58,12/28/17 9:29
Blue,0.55,12/28/17 9:44
Blue,0.63,12/28/17 9:59
Blue,0.57,12/28/17 10:14
Blue,0.59,12/28/17 10:29
Blue,0.55,12/28/17 10:44
Blue,0.57,12/28/17 10:59
Blue,0.54,12/28/17 11:14
Blue,0.55,12/28/17 11:29
Blue,0.59,12/28/17 11:44
Blue,0.55,12/28/17 11:59
Blue,0.57,12/28/17 12:14
Blue,0.56,12/28/17 12:29
Blue,0.61,12/28/17 12:44
Blue,0.59,12/28/17 12:59
Blue,0.54,12/28/17 13:14
Blue,0.78,12/28/17 13:29
Blue,0.60,12/28/17 13:44
Blue,0.57,12/28/17 13:59
Blue,0.59,12/28/17 14:14
Blue,0.61,12/28/17 14:29
Blue,0.60,12/28/17 14:44
Blue,0.55,12/28/17 14:59
Blue,0.55,12/28/17 15:14
Blue,0.55,12/28/17 15:29
Blue,0.53,12/28/17 15:44
Blue,0.56,12/28/17 15:59
Blue,0.54,12/28/17 16:14
Blue,0.58,12/28/17 16:29
Blue,0.60,12/28/17 16:44
Blue,0.55,12/28/17 16:59
Blue,0.58,12/28/17 17:14
Blue,0.55,12/28/17 17:29
Blue,0.53,12/28/17 17:44
Blue,0.54,12/28/17 17:59
Blue,0.59,12/28/17 18:14
Blue,0.56,12/28/17 18:29
Blue,0.57,12/28/17 18:44
Blue,0.56,12/28/17 18:59
Blue,0.57,12/28/17 19:14
Blue,0.50,12/28/17 19:29
Blue,0.56,12/28/17 19:44
Blue,0.57,12/28/17 19:59
Blue,0.54,12/28/17 20:14
Blue,0.57,12/28/17 20:29
Blue,0.58,12/28/17 20:44
Blue,0.68,12/28/17 20:59
Blue,0.59,12/28/17 21:14
Blue,0.62,12/28/17 21:29
Blue,0.61,12/28/17 21:44
Blue,0.60,12/28/17 21:59
Blue,0.56,12/28/17 22:14
Blue,0.59,12/28/17 22:29
Blue,0.59,12/28/17 22:44
Blue,0.61,12/28/17 22:59
Blue,0.86,12/28/17 23:14
Blue,0.62,12/28/17 23:29
Blue,0.61,12/28/17 23:44
Green-B,0.62,12/28/17 5:14
Green-B,0.54,12/28/17 5:29
Green-B,0.67,12/28/17 5:44
Green-B,0.51,12/28/17 5:59
Green-B,0.65,12/28/17 6:14
Green-B,0.64,12/28/17 6:29
Green-B,0.53,12/28/17 6:44
Green-B,0.57,12/28/17 6:59
Green-B,0.48,12/28/17 7:14
Green-B,0.62,12/28/17 7:29
Green-B,0.58,12/28/17 7:44
Green-B,0.57,12/28/17 7:59
Green-B,0.61,12/28/17 8:14
Green-B,0.52,12/28/17 8:29
Green-B,0.59,12/28/17 8:44
Green-B,0.57,12/28/17 8:59
Green-B,0.57,12/28/17 9:14
Green-B,0.47,12/28/17 9:29
Green-B,0.54,12/28/17 9:44
Green-B,0.65,12/28/17 9:59
Green-B,0.52,12/28/17 10:14
Green-B,0.53,12/28/17 10:29
Green-B,0.55,12/28/17 10:44
Green-B,0.52,12/28/17 10:59
Green-B,0.52,12/28/17 11:14
Green-B,0.54,12/28/17 11:29
Green-B,0.45,12/28/17 11:44
Green-B,0.54,12/28/17 11:59
Green-B,0.49,12/28/17 12:14
Green-B,0.52,12/28/17 12:29
Green-B,0.48,12/28/17 12:44
Green-B,0.50,12/28/17 12:59
Green-B,0.59,12/28/17 13:14
Green-B,0.61,12/28/17 13:29
Green-B,0.52,12/28/17 13:44
Green-B,0.50,12/28/17 13:59
Green-B,0.54,12/28/17 14:14
Green-B,0.51,12/28/17 14:29
Green-B,0.54,12/28/17 14:44
Green-B,0.50,12/28/17 14:59
Green-B,0.51,12/28/17 15:14
Green-B,0.51,12/28/17 15:29
Green-B,0.52,12/28/17 15:44
Green-B,0.47,12/28/17 15:59
Green-B,0.55,12/28/17 16:14
Green-B,0.53,12/28/17 16:29
Green-B,0.49,12/28/17 16:44
Green-B,0.52,12/28/17 16:59
Green-B,0.53,12/28/17 17:14
Green-B,0.52,12/28/17 17:29
Green-B,0.56,12/28/17 17:44
Green-B,0.50,12/28/17 17:59
Green-B,0.53,12/28/17 18:14
Green-B,0.48,12/28/17 18:29
Green-B,0.51,12/28/17 18:44
Green-B,0.52,12/28/17 18:59
Green-B,0.51,12/28/17 19:14
Green-B,0.54,12/28/17 19:29
Green-B,0.61,12/28/17 19:44
Green-B,0.59,12/28/17 19:59
Green-B,0.64,12/28/17 20:14
Green-B,0.58,12/28/17 20:29
Green-B,0.61,12/28/17 20:44
Green-B,0.53,12/28/17 20:59
Green-B,0.54,12/28/17 21:14
Green-B,0.62,12/28/17 21:29
Green-B,0.54,12/28/17 21:44
Green-B,0.63,12/28/17 21:59
