,to_stop,from_stop,stop_name_new,stop_id_new,stop_id_old
0,70057,70060,Revere Beach - Inbound,70057,place-rbmnl
3,70055,70057,Beachmont - Inbound,70055,place-bmmnl
8,70053,70055,Suffolk Downs - Inbound,70053,place-sdmnl
11,70051,70053,Orient Heights - Inbound,70051,place-orhte
17,70049,70051,Wood Island - Inbound,70049,place-wimnl
22,70047,70049,Airport - Inbound,70047,place-aport
26,70045,70047,Maverick - Inbound,70045,place-mvbcl
31,70043,70045,Aquarium - Inbound,70043,place-aqucl
34,70022,70043,State Street - to Forest Hills,70022,place-state
40,70022,70024,State Street - to Forest Hills,70022,place-state
46,70039,70022,Government Center - to Bowdoin,70039,place-gover
52,70039,70024,Government Center - to Bowdoin,70039,place-gover
58,70038,70039,Bowdoin - Inbound,70038,place-bomnl
60,70034,70036,Malden - Inbound,70034,place-mlmnl
66,70032,70034,Wellington - Inbound,70032,place-welln
69,70278,70032,Assembly - Inbound,70278,place-astao
72,70030,70278,Sullivan Square - Inbound,70030,place-sull
77,70028,70030,Community College - Inbound,70028,place-ccmnl
80,70026,70028,North Station - Orange Line Inbound,70026,place-north
87,70026,70207,North Station - Orange Line Inbound,70026,place-north
94,70024,70026,Haymarket - Orange Line Inbound,70024,place-haecl
106,70020,70022,Downtown Crossing - to Forest Hills,70020,place-dwnxg
111,70020,70075,Downtown Crossing - to Forest Hills,70020,place-dwnxg
116,70018,70020,Chinatown - Outbound,70018,place-chncl
119,70016,70018,Tufts Medical Center - Outbound,70016,place-tumnl
124,70014,70016,Back Bay - Outbound,70014,place-bbsta
130,70012,70014,Massachusetts Avenue - Outbound,70012,place-masta
135,70010,70012,Ruggles - Outbound,70010,place-rugg
142,70008,70010,Roxbury Crossing - Outbound,70008,place-rcmnl
148,70006,70008,Jackson Square - Outbound,70006,place-jaksn
152,70004,70006,Stony Brook - Outbound,70004,place-sbmnl
155,70002,70004,Green Street - Outbound,70002,place-grnst
158,70001,70002,Forest Hills Orange Line,70001,place-forhl
163,70063,70061,Davis - Inbound,70063,place-davis
167,70065,70063,Porter - Inbound,70065,place-portr
172,70067,70065,Harvard - Inbound,70067,place-harsq
177,70069,70067,Central - Inbound,70069,place-cntsq
181,70071,70069,Kendall/MIT - Inbound,70071,place-knncl
185,70073,70071,Charles/MGH - Inbound,70073,place-chmnl
188,70075,70073,Park Street - to Ashmont/Braintree,70075,place-pktrm
196,70075,70039,Park Street - to Ashmont/Braintree,70075,place-pktrm
204,70079,70020,South Station - Outbound,70079,place-sstat
210,70081,70079,Broadway - Outbound,70081,place-brdwy
215,70083,70081,Andrew - Outbound,70083,place-andrw
219,70085,70083,JFK/UMASS Ashmont - Outbound,70085,place-jfk
225,70087,70085,Savin Hill - Outbound,70087,place-shmnl
228,70089,70087,Fields Corner - Outbound,70089,place-fldcr
232,70091,70089,Shawmut - Outbound,70091,place-smmnl
235,70093,70091,Ashmont - Outbound,70093,place-asmnl
243,70097,70085,North Quincy - Outbound,70097,place-nqncy
247,70099,70097,Wollaston - Outbound,70099,place-wlsta
250,70101,70099,Quincy Center - Outbound,70101,place-qnctr
260,70103,70101,Quincy Adams - Outbound,70103,place-qamnl
264,70105,70103,Braintree,70105,place-brntn
267,70207,70209,Science Park - Outbound,70207,place-spmnl
270,70158,70075,Boylston - Inbound,70158,place-boyls
273,70156,70158,Arlington - Inbound,70156,place-armnl
276,70154,70156,Copley - Inbound,70154,place-coecl
280,70152,70154,Hynes - Inbound,70152,place-hymnl
285,70150,70152,Kenmore - Inbound,70150,place-kencl
289,70148,70150,Blandford Street - Inbound,70148,place-bland
292,70146,70148,Boston Univ East - Inbound,70146,place-buest
295,70144,70146,Boston Univ Central - Inbound,70144,place-bucen
298,70142,70144,Boston Univ West - Inbound,70142,place-buwst
