stop_id_old,stop_id_new,stop_name_new
place-bomnl,70838,Bowdoin - Outbound
place-asmnl,70261,Ashmont - Mattapan Line
place-hsmnl,70260,Heath Street
place-bckhl,70258,Back of the Hill - Inbound
place-bckhl,70257,Back of the Hill - Outbound
place-rvrwy,70256,Riverway - Inbound
place-rvrwy,70255,Riverway - Outbound
place-mispk,70254,Mission Park - Inbound
place-mispk,70253,Mission Park - Outbound
place-fenwd,70252,Fenwood Road - Inbound
place-fenwd,70251,Fenwood Road - Outbound
place-brmnl,70250,Brigham Circle - Inbound
place-brmnl,70249,Brigham Circle - Outbound
place-lngmd,70248,Longwood Medical Area - Inbound
place-lngmd,70247,Longwood Medical Area - Outbound
place-mfa,70246,Museum of Fine Arts - Inbound
place-mfa,70245,Museum of Fine Arts - Outbound
place-nuniv,70244,Northeastern - Inbound
place-nuniv,70243,Northeastern - Outbound
place-symcl,70242,Symphony - Inbound
place-symcl,70241,Symphony - Outbound
place-prmnl,70240,Prudential - Inbound
place-prmnl,70239,Prudential - Outbound
place-clmnl,70238,Cleveland Circle - Inbound
place-clmnl,70237,Cleveland Circle - Outbound
place-engav,70236,Englewood Avenue - Inbound
place-engav,70235,Englewood Avenue - Outbound
place-denrd,70234,Dean Road - Inbound
place-denrd,70233,Dean Road - Outbound
place-tapst,70232,Tappan Street - Inbound
place-tapst,70231,Tappan Street - Outbound
place-bcnwa,70230,Washington Square - Inbound
place-bcnwa,70229,Washington Square - Outbound
place-fbkst,70228,Fairbanks Street - Inbound
place-fbkst,70227,Fairbanks Street - Outbound
place-bndhl,70226,Brandon Hall - Inbound
place-bndhl,70225,Brandon Hall - Outbound
place-sumav,70224,Summit Avenue - Inbound
place-sumav,70223,Summit Avenue - Outbound
place-cool,70220,Coolidge Corner - Inbound
place-cool,70219,Coolidge Corner - Outbound
place-stpul,70218,Saint Paul Street - Inbound
place-stpul,70217,Saint Paul Street - Outbound
place-kntst,70216,Kent Street - Inbound
place-kntst,70215,Kent Street - Outbound
place-hwsst,70214,Hawes Street - Inbound
place-hwsst,70213,Hawes Street - Outbound
place-smary,70212,Saint Mary Street - Inbound
place-smary,70211,Saint Mary Street - Outbound
place-lech,70210,Lechmere - Inbound
place-lech,70209,Lechmere - Outbound
place-spmnl,70208,Science Park - Inbound
place-spmnl,70207,Science Park - Outbound
place-north,70206,North Station - Green Line Inbound
place-north,70205,North Station - Green Line Outbound
place-haecl,70204,Haymarket - Green Line Inbound
place-haecl,70203,Haymarket - Green Line Outbound
place-gover,70202,Government Center - Green Line Westbound
place-gover,70201,Government Center - Green Line Eastbound
place-pktrm,70200,Park Street - Green Line Eastbound
place-pktrm,70199,Park Street - Green Line - E Branch Berth
place-pktrm,70198,Park Street - Green Line - D Branch Berth
place-pktrm,70197,Park Street - Green Line - C Branch Berth
place-pktrm,70196,Park Street - Green Line - B Branch Berth
place-fenwy,70187,Fenway - Outbound
place-fenwy,70186,Fenway - Inbound
place-longw,70183,Longwood - Outbound
place-longw,70182,Longwood - Inbound
place-bvmnl,70181,Brookline Village - Outbound
place-bvmnl,70180,Brookline Village - Inbound
place-brkhl,70179,Brookline Hills - Outbound
place-brkhl,70178,Brookline Hills - Inbound
place-bcnfd,70177,Beaconsfield - Outbound
place-bcnfd,70176,Beaconsfield - Inbound
place-rsmnl,70175,Reservoir - Outbound
place-rsmnl,70174,Reservoir - Inbound
place-chhil,70173,Chestnut Hill - Outbound
place-chhil,70172,Chestnut Hill - Inbound
place-newto,70171,Newton Centre - Outbound
place-newto,70170,Newton Centre - Inbound
place-newtn,70169,Newton Highlands - Outbound
place-newtn,70168,Newton Highlands - Inbound
place-eliot,70167,Eliot - Outbound
place-eliot,70166,Eliot - Inbound
place-waban,70165,Waban - Outbound
place-waban,70164,Waban - Inbound
place-woodl,70163,Woodland - Outbound
place-woodl,70162,Woodland - Inbound
place-river,70161,Riverside - Outbound
place-river,70160,Riverside - Inbound
place-boyls,70159,Boylston - Outbound
place-boyls,70158,Boylston - Inbound
place-armnl,70157,Arlington - Outbound
place-armnl,70156,Arlington - Inbound
place-coecl,70155,Copley - Outbound
place-coecl,70154,Copley - Inbound
place-hymnl,70153,Hynes - Outbound
place-hymnl,70152,Hynes - Inbound
place-kencl,70151,Kenmore - Outbound
place-kencl,70150,Kenmore - Inbound
place-bland,70149,Blandford Street - Outbound
place-bland,70148,Blandford Street - Inbound
place-buest,70147,Boston Univ East - Outbound
place-buest,70146,Boston Univ East - Inbound
place-bucen,70145,Boston Univ Central - Outbound
place-bucen,70144,Boston Univ Central - Inbound
place-buwst,70143,Boston Univ West - Outbound
place-buwst,70142,Boston Univ West - Inbound
place-stplb,70141,Saint Paul Street - Outbound
place-stplb,70140,Saint Paul Street - Inbound
place-plsgr,70139,Pleasant Street - Outbound
place-plsgr,70138,Pleasant Street - Inbound
place-babck,70137,Babcock Street - Outbound
place-babck,70136,Babcock Street - Inbound
place-brico,70135,Packards Corner - Outbound
place-brico,70134,Packards Corner - Inbound
place-harvd,70131,Harvard Avenue - Outbound
place-harvd,70130,Harvard Avenue - Inbound
place-grigg,70129,Griggs Street - Outbound
place-grigg,70128,Griggs Street - Inbound
place-alsgr,70127,Allston Street - Outbound
place-alsgr,70126,Allston Street - Inbound
place-wrnst,70125,Warren Street - Outbound
place-wrnst,70124,Warren Street - Inbound
place-wascm,70121,Washington Street - Outbound
place-wascm,70120,Washington Street - Inbound
place-sthld,70117,Sutherland Road - Outbound
place-sthld,70116,Sutherland Road - Inbound
place-chswk,70115,Chiswick Road - Outbound
place-chswk,70114,Chiswick Road - Inbound
place-chill,70113,Chestnut Hill Avenue - Outbound
place-chill,70112,Chestnut Hill Avenue - Inbound
place-sougr,70111,South Street - Outbound
place-sougr,70110,South Street - Inbound
place-lake,70107,Boston College - Outbound
place-lake,70106,Boston College - Inbound
place-brntn,70105,Braintree
place-qamnl,70104,Quincy Adams - Inbound
place-qamnl,70103,Quincy Adams - Outbound
place-qnctr,70102,Quincy Center - Inbound
place-qnctr,70101,Quincy Center - Outbound
place-wlsta,70100,Wollaston - Inbound
place-wlsta,70099,Wollaston - Outbound
place-nqncy,70098,North Quincy - Inbound
place-nqncy,70097,North Quincy - Outbound
place-jfk,70096,JFK/UMASS Braintree - Inbound
place-jfk,70095,JFK/UMASS Braintree - Outbound
place-asmnl,70094,Ashmont - Inbound
place-asmnl,70093,Ashmont - Outbound
place-smmnl,70092,Shawmut - Inbound
place-smmnl,70091,Shawmut - Outbound
place-fldcr,70090,Fields Corner - Inbound
place-fldcr,70089,Fields Corner - Outbound
place-shmnl,70088,Savin Hill - Inbound
place-shmnl,70087,Savin Hill - Outbound
place-jfk,70086,JFK/UMASS Ashmont - Inbound
place-jfk,70085,JFK/UMASS Ashmont - Outbound
place-andrw,70084,Andrew - Inbound
place-andrw,70083,Andrew - Outbound
place-brdwy,70082,Broadway - Inbound
place-brdwy,70081,Broadway - Outbound
place-sstat,70080,South Station - Inbound
place-sstat,70079,South Station - Outbound
