,Station,x,y,stop_id_new,stop_name_new
1,place-wondl,22.095,3.645,70060,Wonderland - Outbound
2,place-wondl,22.095,3.645,70059,Wonderland - Inbound
3,place-rbmnl,21.459,4.281,70058,Revere Beach - Outbound
4,place-rbmnl,21.459,4.281,70057,Revere Beach - Inbound
5,place-bmmnl,20.823,4.917,70056,Beachmont - Outbound
6,place-bmmnl,20.823,4.917,70055,Beachmont - Inbound
7,place-sdmnl,20.187,5.553,70054,Suffolk Downs - Outbound
8,place-sdmnl,20.187,5.553,70053,Suffolk Downs - Inbound
9,place-orhte,19.551,6.189,70052,Orient Heights - Outbound
10,place-orhte,19.551,6.189,70051,Orient Heights - Inbound
11,place-wimnl,18.915,6.825,70050,Wood Island - Outbound
12,place-wimnl,18.915,6.825,70049,Wood Island - Inbound
13,place-aport,18.279,7.461,70048,Airport - Outbound
14,place-aport,18.279,7.461,70047,Airport - Inbound
15,place-mvbcl,17.572,8.168,70046,Maverick - Outbound
16,place-mvbcl,17.572,8.168,70045,Maverick - Inbound
17,place-aqucl,16.572,8.168,70044,Aquarium - Outbound
18,place-aqucl,16.572,8.168,70043,Aquarium - Inbound
19,place-state,15.865,7.461,70042,State Street - to Wonderland
20,place-state,15.865,7.461,70041,State Street - to Bowdoin
21,place-state,15.865,7.461,70023,State Street - to Oak Grove
22,place-state,15.865,7.461,70022,State Street - to Forest Hills
23,place-dwnxg,15.158,8.168,70078,Downtown Crossing - to Alewife
24,place-dwnxg,15.158,8.168,70077,Downtown Crossing - to Ashmont/Braintree
25,place-dwnxg,15.158,8.168,70021,Downtown Crossing - to Oak Grove
26,place-dwnxg,15.158,8.168,70020,Downtown Crossing - to Forest Hills
27,place-chncl,14.451,8.875,70019,Chinatown - Inbound
28,place-chncl,14.451,8.875,70018,Chinatown - Outbound
29,place-tumnl,13.744,9.582,70017,Tufts Medical Center - Inbound
30,place-tumnl,13.744,9.582,70016,Tufts Medical Center - Outbound
31,place-bbsta,13.037,10.289,70015,Back Bay - Inbound
32,place-bbsta,13.037,10.289,70014,Back Bay - Outbound
33,place-masta,12.33,10.996,70013,Massachusetts Avenue - Inbound
34,place-masta,12.33,10.996,70012,Massachusetts Avenue - Outbound
35,place-rugg,11.623,11.703,70011,Ruggles - Inbound
36,place-rugg,11.623,11.703,70010,Ruggles - Outbound
37,place-rcmnl,10.916,12.41,70009,Roxbury Crossing - Inbound
38,place-rcmnl,10.916,12.41,70008,Roxbury Crossing - Outbound
39,place-jaksn,10.209,13.117,70007,Jackson Square - Inbound
40,place-jaksn,10.209,13.117,70006,Jackson Square - Outbound
41,place-sbmnl,9.502,13.824,70005,Stony Brook - Inbound
42,place-sbmnl,9.502,13.824,70004,Stony Brook - Outbound
43,place-grnst,8.795,14.531,70003,Green Street - Inbound
44,place-grnst,8.795,14.531,70002,Green Street - Outbound
45,place-forhl,8.088,15.238,70001,Forest Hills Orange Line
46,place-pktrm,14.451,7.461,70200,Park Street - Green Line Eastbound
47,place-pktrm,14.451,7.461,70199,Park Street - Green Line - E Branch Berth
48,place-pktrm,14.451,7.461,70198,Park Street - Green Line - D Branch Berth
49,place-pktrm,14.451,7.461,70197,Park Street - Green Line - C Branch Berth
50,place-pktrm,14.451,7.461,70196,Park Street - Green Line - B Branch Berth
51,place-pktrm,14.451,7.461,70076,Park Street - to Alewife
52,place-pktrm,14.451,7.461,70075,Park Street - to Ashmont/Braintree
53,place-sstat,15.865,8.875,70080,South Station - Inbound
54,place-sstat,15.865,8.875,70079,South Station - Outbound
55,place-brdwy,15.865,9.875,70082,Broadway - Inbound
56,place-brdwy,15.865,9.875,70081,Broadway - Outbound
57,place-andrw,15.865,10.875,70084,Andrew - Inbound
58,place-andrw,15.865,10.875,70083,Andrew - Outbound
59,place-jfk,15.865,11.875,70096,JFK/UMASS Braintree - Inbound
60,place-jfk,15.865,11.875,70095,JFK/UMASS Braintree - Outbound
61,place-jfk,15.865,11.875,70086,JFK/UMASS Ashmont - Inbound
