,y,x,stop_id_old,stop_id_new,stop_name_new
1409,9.899494937,13.24264069,place-qnctr,Quincy Center,Quincy Center
1972,4.535533906,1.414213562,place-wrnst,place-wrnst,Warren Street
1963,4.414213562,14.8492424,place-woodl,place-woodl,Woodland
1940,14.43502884,2.464466094,place-wondl,place-wondl,Wonderland
1929,9.192388155,12.53553391,place-wlsta,place-wlsta,Wollaston
1910,10.89949494,6,place-wimnl,place-wimnl,Wood Island
1900,8.485281374,2,place-welln,place-welln,Wellington
1891,3.828427125,2.121320344,place-wascm,place-wascm,Washington Street
1882,5.121320344,14.14213562,place-waban,place-waban,Waban
1850,5.656854249,8.828427125,place-tumnl,place-tumnl,Tufts Medical Center
1839,4.949747468,8.485281374,place-tapst,place-tapst,Tappan Street
1830,14.89949494,8.363961031,place-symcl,place-symcl,Symphony
1821,7.778174593,5.656854249,place-sumav,place-sumav,Summit Ave.
1798,8.485281374,3,place-sull,place-sull,Sullivan Square
1787,9.192388155,4.242640687,place-stpul,place-stpul,Saint Paul Street
1778,10.07106781,2.121320344,place-stplb,place-stplb,Saint Paul Street
1769,3.121320344,2.828427125,place-sthld,place-sthld,Sutherland Road
1736,7.778174593,6.707106781,place-state,place-state,State Street
1705,7.778174593,8.121320344,place-sstat,place-sstat,South Station
1694,19.3137085,2.535533906,place-spmnl,place-spmnl,Science Park
1685,1,4.949747468,place-sougr,place-sougr,South Street
1676,7.071067812,13.82842712,place-smmnl,place-smmnl,Shawmut
1667,11.60660172,5.656854249,place-smary,place-smary,Saint Marys Street
1658,7.071067812,11.82842712,place-shmnl,place-shmnl,Savin Hill
1649,12.3137085,4.585786438,place-sdmnl,place-sdmnl,Suffolk Downs
1640,1.414213562,13.07106781,place-sbmnl,place-sbmnl,Stony Brook
1631,9.949747468,13.3137085,place-rvrwy,place-rvrwy,Riverway
1586,3.535533906,10.94974747,place-rugg,place-rugg,Ruggles
1567,8.656854249,10.60660172,place-rsmnl,place-rsmnl,Reservoir
1551,3.414213562,14.8492424,place-river,place-river,Riverside
1522,2.828427125,11.65685425,place-rcmnl,place-rcmnl,Roxbury Crossing
1511,13.72792206,3.171572875,place-rbmnl,place-rbmnl,Revere Beach
1418,9.899494937,13.24264069,place-qnctr,place-qnctr,Quincy Center
1396,10.60660172,13.94974747,place-qamnl,place-qamnl,Quincy Adams
1386,14.89949494,6.363961031,place-prmnl,place-prmnl,Prudential
1363,2.828427125,3.171572875,place-portr,place-portr,Porter
1352,9.363961031,1.414213562,place-plsgr,place-plsgr,Pleasant Street
1293,6.363961031,6.707106781,place-pktrm,place-pktrm,Park Street
1255,11.60660172,5.292893219,place-orhte,place-orhte,Orient Heights
1237,8.485281374,0,place-ogmnl,place-ogmnl,Oak Grove
1213,14.19238816,9.071067812,place-nuniv,place-nuniv,Northeastern University
1196,8.485281374,11.82842712,place-nqncy,place-nqncy,North Quincy
1150,8.485281374,5,place-north,place-north,North Station
1137,7.242640687,12.02081528,place-newto,place-newto,Newton Centre
1128,6.535533906,12.72792206,place-newtn,place-newtn,Newton Highlands
1105,9.485281374,7.414213562,place-mvbcl,place-mvbcl,Maverick
1070,8.485281374,1,place-mlmnl,place-mlmnl,Malden Center
1058,10.65685425,12.60660172,place-mispk,place-mispk,Mission Park
1040,13.48528137,9.778174593,place-mfa,place-mfa,Museum of Fine Arts
992,4.242640687,10.24264069,place-masta,place-masta,Massachusetts Ave.
981,11.48528137,7.778174593,place-longw,place-longw,Longwood
972,12.77817459,10.48528137,place-lngmd,place-lngmd,Longwood Medical Area
957,18.60660172,1.828427125,place-lech,place-lech,Lechmere
947,0,4.949747468,place-lake,place-lake,Boston College
938,10.19238816,4.242640687,place-kntst,place-kntst,Kent Street
923,4.949747468,5.292893219,place-knncl,place-knncl,Kendall/MIT
907,13.60660172,5.656854249,place-kencl,place-kencl,Kenmore
873,7.778174593,11.12132034,place-jfk,place-jfk,JFK/Umass
855,2.121320344,12.36396103,place-jaksn,place-jaksn,Jackson Square
831,14.60660172,5.656854249,place-hymnl,place-hymnl,Hynes Convention Center
820,10.89949494,4.949747468,place-hwsst,place-hwsst,Hawes Street
801,8.535533906,14.72792206,place-hsmnl,place-hsmnl,Heath Street
791,6.949747468,0,place-harvd,place-harvd,Harvard Ave.
768,3.535533906,3.878679656,place-harsq,place-harsq,Harvard
733,8.485281374,6,place-haecl,place-haecl,Haymarket
721,0.707106781,13.77817459,place-grnst,place-grnst,Green Street
712,5.949747468,0,place-grigg,place-grigg,Griggs Street
679,7.071067812,6,place-gover,place-gover,Government Center
653,0,14.48528137,place-forhl,place-forhl,Forest Hills
636,7.071067812,12.82842712,place-fldcr,place-fldcr,Fields Corner
612,12.19238816,7.071067812,place-fenwy,place-fenwy,Fenway
601,11.36396103,11.89949494,place-fenwd,place-fenwd,Fenwood Road
592,6.363961031,7.071067812,place-fbkst,place-fbkst,Fairbanks Street
583,3.535533906,9.899494937,place-engav,place-engav,Englewood Ave.
574,5.828427125,13.43502884,place-eliot,place-eliot,Eliot
551,7.071067812,7.414213562,place-dwnxg,place-dwnxg,Downtown Crossing
540,4.242640687,9.192388155,place-denrd,place-denrd,Dean Road
525,1.828427125,3.171572875,place-davis,place-davis,Davis
492,8.485281374,4.949747468,place-cool,place-cool,Coolidge Corner
478,15.60660172,5.656854249,place-coecl,place-coecl,Copley
466,4.242640687,4.585786438,place-cntsq,place-cntsq,Central
457,2.535533906,9.899494937,place-clmnl,place-clmnl,Cleveland Circle
448,2.414213562,3.535533906,place-chswk,place-chswk,Chiswick Road
439,6.363961031,8.121320344,place-chncl,place-chncl,Chinatown
430,5.656854249,6,place-chmnl,place-chmnl,Charles/MGH
