,y,x,stop_id_old,stop_id_new,stop_name_new
251,6.363961031,5.292893219,place-bomnl,70838,Bowdoin - Outbound
72,7.071067812,14.82842712,place-asmnl,70261,Ashmont - Mattapan Line
321,10.60660172,14.94974747,place-brntn,70105,Braintree
1395,10.60660172,13.94974747,place-qamnl,70104,Quincy Adams - Inbound
1394,10.60660172,13.94974747,place-qamnl,70103,Quincy Adams - Outbound
1417,9.899494937,13.24264069,place-qnctr,70102,Quincy Center - Inbound
1416,9.899494937,13.24264069,place-qnctr,70101,Quincy Center - Outbound
1928,9.192388155,12.53553391,place-wlsta,70100,Wollaston - Inbound
1927,9.192388155,12.53553391,place-wlsta,70099,Wollaston - Outbound
1195,8.485281374,11.82842712,place-nqncy,70098,North Quincy - Inbound
1194,8.485281374,11.82842712,place-nqncy,70097,North Quincy - Outbound
872,7.778174593,11.12132034,place-jfk,70096,JFK/UMASS Braintree - Inbound
871,7.778174593,11.12132034,place-jfk,70095,JFK/UMASS Braintree - Outbound
71,7.071067812,14.82842712,place-asmnl,70094,Ashmont - Inbound
70,7.071067812,14.82842712,place-asmnl,70093,Ashmont - Outbound
1675,7.071067812,13.82842712,place-smmnl,70092,Shawmut - Inbound
1674,7.071067812,13.82842712,place-smmnl,70091,Shawmut - Outbound
635,7.071067812,12.82842712,place-fldcr,70090,Fields Corner - Inbound
634,7.071067812,12.82842712,place-fldcr,70089,Fields Corner - Outbound
1657,7.071067812,11.82842712,place-shmnl,70088,Savin Hill - Inbound
1656,7.071067812,11.82842712,place-shmnl,70087,Savin Hill - Outbound
870,7.778174593,11.12132034,place-jfk,70086,JFK/UMASS Ashmont - Inbound
869,7.778174593,11.12132034,place-jfk,70085,JFK/UMASS Ashmont - Outbound
20,7.778174593,10.12132034,place-andrw,70084,Andrew - Inbound
19,7.778174593,10.12132034,place-andrw,70083,Andrew - Outbound
268,7.778174593,9.121320344,place-brdwy,70082,Broadway - Inbound
267,7.778174593,9.121320344,place-brdwy,70081,Broadway - Outbound
1702,7.778174593,8.121320344,place-sstat,70080,South Station - Inbound
1701,7.778174593,8.121320344,place-sstat,70079,South Station - Outbound
550,7.071067812,7.414213562,place-dwnxg,70078,Downtown Crossing - to Alewife
549,7.071067812,7.414213562,place-dwnxg,70077,Downtown Crossing - to Ashmont/Braintree
1287,6.363961031,6.707106781,place-pktrm,70076,Park Street - to Alewife
1286,6.363961031,6.707106781,place-pktrm,70075,Park Street - to Ashmont/Braintree
429,5.656854249,6,place-chmnl,70074,Charles/MGH - Outbound
428,5.656854249,6,place-chmnl,70073,Charles/MGH - Inbound
922,4.949747468,5.292893219,place-knncl,70072,Kendall/MIT - Outbound
921,4.949747468,5.292893219,place-knncl,70071,Kendall/MIT - Inbound
465,4.242640687,4.585786438,place-cntsq,70070,Central - Outbound
464,4.242640687,4.585786438,place-cntsq,70069,Central - Inbound
767,3.535533906,3.878679656,place-harsq,70068,Harvard - Outbound
766,3.535533906,3.878679656,place-harsq,70067,Harvard - Inbound
1362,2.828427125,3.171572875,place-portr,70066,Porter - Outbound
1361,2.828427125,3.171572875,place-portr,70065,Porter - Inbound
524,1.828427125,3.171572875,place-davis,70064,Davis - Outbound
523,1.828427125,3.171572875,place-davis,70063,Davis - Inbound
1,0.828427125,3.171572875,place-alfcl,70061,Alewife
1939,14.43502884,2.464466094,place-wondl,70060,Wonderland - Outbound
1938,14.43502884,2.464466094,place-wondl,70059,Wonderland - Inbound
1510,13.72792206,3.171572875,place-rbmnl,70058,Revere Beach - Outbound
1509,13.72792206,3.171572875,place-rbmnl,70057,Revere Beach - Inbound
219,13.02081528,3.878679656,place-bmmnl,70056,Beachmont - Outbound
218,13.02081528,3.878679656,place-bmmnl,70055,Beachmont - Inbound
1648,12.3137085,4.585786438,place-sdmnl,70054,Suffolk Downs - Outbound
1647,12.3137085,4.585786438,place-sdmnl,70053,Suffolk Downs - Inbound
1254,11.60660172,5.292893219,place-orhte,70052,Orient Heights - Outbound
1253,11.60660172,5.292893219,place-orhte,70051,Orient Heights - Inbound
1909,10.89949494,6,place-wimnl,70050,Wood Island - Outbound
1908,10.89949494,6,place-wimnl,70049,Wood Island - Inbound
35,10.19238816,6.707106781,place-aport,70048,Airport - Outbound
34,10.19238816,6.707106781,place-aport,70047,Airport - Inbound
1104,9.485281374,7.414213562,place-mvbcl,70046,Maverick - Outbound
1103,9.485281374,7.414213562,place-mvbcl,70045,Maverick - Inbound
51,8.485281374,7.414213562,place-aqucl,70044,Aquarium - Outbound
50,8.485281374,7.414213562,place-aqucl,70043,Aquarium - Inbound
1735,7.778174593,6.707106781,place-state,70042,State Street - to Wonderland
1734,7.778174593,6.707106781,place-state,70041,State Street - to Bowdoin
676,7.071067812,6,place-gover,70040,Government Center - to Wonderland
675,7.071067812,6,place-gover,70039,Government Center - to Bowdoin
250,6.363961031,5.292893219,place-bomnl,70038,Bowdoin - Inbound
1234,8.485281374,0,place-ogmnl,70036,Oak Grove
1069,8.485281374,1,place-mlmnl,70035,Malden - Outbound
1068,8.485281374,1,place-mlmnl,70034,Malden - Inbound
1899,8.485281374,2,place-welln,70033,Wellington - Outbound
1898,8.485281374,2,place-welln,70032,Wellington - Inbound
1797,8.485281374,3,place-sull,70031,Sullivan Square - Outbound
1796,8.485281374,3,place-sull,70030,Sullivan Square - Inbound
384,8.485281374,4,place-ccmnl,70029,Community College - Outbound
383,8.485281374,4,place-ccmnl,70028,Community College - Inbound
1147,8.485281374,5,place-north,70027,North Station - Orange Line Outbound
1146,8.485281374,5,place-north,70026,North Station - Orange Line Inbound
729,8.485281374,6,place-haecl,70025,Haymarket - Orange Line Outbound
728,8.485281374,6,place-haecl,70024,Haymarket - Orange Line Inbound
1733,7.778174593,6.707106781,place-state,70023,State Street - to Oak Grove
1732,7.778174593,6.707106781,place-state,70022,State Street - to Forest Hills
548,7.071067812,7.414213562,place-dwnxg,70021,Downtown Crossing - to Oak Grove
547,7.071067812,7.414213562,place-dwnxg,70020,Downtown Crossing - to Forest Hills
438,6.363961031,8.121320344,place-chncl,70019,Chinatown - Inbound
437,6.363961031,8.121320344,place-chncl,70018,Chinatown - Outbound
1849,5.656854249,8.828427125,place-tumnl,70017,Tufts Medical Center - Inbound
1848,5.656854249,8.828427125,place-tumnl,70016,Tufts Medical Center - Outbound
137,4.949747468,9.535533906,place-bbsta,70015,Back Bay - Inbound
136,4.949747468,9.535533906,place-bbsta,70014,Back Bay - Outbound
991,4.242640687,10.24264069,place-masta,70013,Massachusetts Avenue - Inbound
990,4.242640687,10.24264069,place-masta,70012,Massachusetts Avenue - Outbound
1585,3.535533906,10.94974747,place-rugg,70011,Ruggles - Inbound
1584,3.535533906,10.94974747,place-rugg,70010,Ruggles - Outbound
1521,2.828427125,11.65685425,place-rcmnl,70009,Roxbury Crossing - Inbound
1520,2.828427125,11.65685425,place-rcmnl,70008,Roxbury Crossing - Outbound
854,2.121320344,12.36396103,place-jaksn,70007,Jackson Square - Inbound
853,2.121320344,12.36396103,place-jaksn,70006,Jackson Square - Outbound
1639,1.414213562,13.07106781,place-sbmnl,70005,Stony Brook - Inbound
1638,1.414213562,13.07106781,place-sbmnl,70004,Stony Brook - Outbound
720,0.707106781,13.77817459,place-grnst,70003,Green Street - Inbound
719,0.707106781,13.77817459,place-grnst,70002,Green Street - Outbound
650,0,14.48528137,place-forhl,70001,Forest Hills Orange Line
