,y,x,stop_id_old,stop_id_new,stop_name_new
251,6.363961031,5.292893219,place-bomnl,70838,Bowdoin - Outbound
72,7.071067812,14.82842712,place-asmnl,70261,Ashmont - Mattapan Line
800,14.72792206,8.535533906,place-hsmnl,70260,Heath Street
165,14.02081528,9.242640687,place-bckhl,70258,Back of the Hill - Inbound
164,14.02081528,9.242640687,place-bckhl,70257,Back of the Hill - Outbound
1630,13.3137085,9.949747468,place-rvrwy,70256,Riverway - Inbound
1629,13.3137085,9.949747468,place-rvrwy,70255,Riverway - Outbound
1057,12.60660172,10.65685425,place-mispk,70254,Mission Park - Inbound
1056,12.60660172,10.65685425,place-mispk,70253,Mission Park - Outbound
600,11.89949494,11.36396103,place-fenwd,70252,Fenwood Road - Inbound
599,11.89949494,11.36396103,place-fenwd,70251,Fenwood Road - Outbound
309,11.19238816,12.07106781,place-brmnl,70250,Brigham Circle - Inbound
308,11.19238816,12.07106781,place-brmnl,70249,Brigham Circle - Outbound
971,10.48528137,12.77817459,place-lngmd,70248,Longwood Medical Area - Inbound
970,10.48528137,12.77817459,place-lngmd,70247,Longwood Medical Area - Outbound
1039,9.778174593,13.48528137,place-mfa,70246,Museum of Fine Arts - Inbound
1038,9.778174593,13.48528137,place-mfa,70245,Museum of Fine Arts - Outbound
1211,9.071067812,14.19238816,place-nuniv,70244,Northeastern - Inbound
1210,9.071067812,14.19238816,place-nuniv,70243,Northeastern - Outbound
1829,8.363961031,14.89949494,place-symcl,70242,Symphony - Inbound
1828,8.363961031,14.89949494,place-symcl,70241,Symphony - Outbound
1385,6.363961031,14.89949494,place-prmnl,70240,Prudential - Inbound
1384,6.363961031,14.89949494,place-prmnl,70239,Prudential - Outbound
456,9.899494937,2.535533906,place-clmnl,70238,Cleveland Circle - Inbound
455,9.899494937,2.535533906,place-clmnl,70237,Cleveland Circle - Outbound
582,9.899494937,3.535533906,place-engav,70236,Englewood Avenue - Inbound
581,9.899494937,3.535533906,place-engav,70235,Englewood Avenue - Outbound
539,9.192388155,4.242640687,place-denrd,70234,Dean Road - Inbound
538,9.192388155,4.242640687,place-denrd,70233,Dean Road - Outbound
1838,8.485281374,4.949747468,place-tapst,70232,Tappan Street - Inbound
1837,8.485281374,4.949747468,place-tapst,70231,Tappan Street - Outbound
185,7.778174593,5.656854249,place-bcnwa,70230,Washington Square - Inbound
184,7.778174593,5.656854249,place-bcnwa,70229,Washington Square - Outbound
591,7.071067812,6.363961031,place-fbkst,70228,Fairbanks Street - Inbound
590,7.071067812,6.363961031,place-fbkst,70227,Fairbanks Street - Outbound
242,6.363961031,7.071067812,place-bndhl,70226,Brandon Hall - Inbound
241,6.363961031,7.071067812,place-bndhl,70225,Brandon Hall - Outbound
1820,5.656854249,7.778174593,place-sumav,70224,Summit Avenue - Inbound
1819,5.656854249,7.778174593,place-sumav,70223,Summit Avenue - Outbound
491,4.949747468,8.485281374,place-cool,70220,Coolidge Corner - Inbound
490,4.949747468,8.485281374,place-cool,70219,Coolidge Corner - Outbound
1786,4.242640687,9.192388155,place-stpul,70218,Saint Paul Street - Inbound
1785,4.242640687,9.192388155,place-stpul,70217,Saint Paul Street - Outbound
937,4.242640687,10.19238816,place-kntst,70216,Kent Street - Inbound
936,4.242640687,10.19238816,place-kntst,70215,Kent Street - Outbound
819,4.949747468,10.89949494,place-hwsst,70214,Hawes Street - Inbound
818,4.949747468,10.89949494,place-hwsst,70213,Hawes Street - Outbound
1666,5.656854249,11.60660172,place-smary,70212,Saint Mary Street - Inbound
1665,5.656854249,11.60660172,place-smary,70211,Saint Mary Street - Outbound
956,1.828427125,18.60660172,place-lech,70210,Lechmere - Inbound
955,1.828427125,18.60660172,place-lech,70209,Lechmere - Outbound
1693,2.535533906,19.3137085,place-spmnl,70208,Science Park - Inbound
1692,2.535533906,19.3137085,place-spmnl,70207,Science Park - Outbound
1149,5,8.485281374,place-north,70206,North Station - Green Line Inbound
1148,5,8.485281374,place-north,70205,North Station - Green Line Outbound
731,6,8.485281374,place-haecl,70204,Haymarket - Green Line Inbound
730,6,8.485281374,place-haecl,70203,Haymarket - Green Line Outbound
678,6,7.071067812,place-gover,70202,Government Center - Green Line Westbound
677,6,7.071067812,place-gover,70201,Government Center - Green Line Eastbound
1292,6.707106781,6.363961031,place-pktrm,70200,Park Street - Green Line Eastbound
1291,6.707106781,6.363961031,place-pktrm,70199,Park Street - Green Line - E Branch Berth
1290,6.707106781,6.363961031,place-pktrm,70198,Park Street - Green Line - D Branch Berth
1289,6.707106781,6.363961031,place-pktrm,70197,Park Street - Green Line - C Branch Berth
1288,6.707106781,6.363961031,place-pktrm,70196,Park Street - Green Line - B Branch Berth
610,7.071067812,12.19238816,place-fenwy,70187,Fenway - Outbound
609,7.071067812,12.19238816,place-fenwy,70186,Fenway - Inbound
980,7.778174593,11.48528137,place-longw,70183,Longwood - Outbound
979,7.778174593,11.48528137,place-longw,70182,Longwood - Inbound
366,8.485281374,10.77817459,place-bvmnl,70181,Brookline Village - Outbound
365,8.485281374,10.77817459,place-bvmnl,70180,Brookline Village - Inbound
300,9.192388155,10.07106781,place-brkhl,70179,Brookline Hills - Outbound
299,9.192388155,10.07106781,place-brkhl,70178,Brookline Hills - Inbound
174,9.899494937,9.363961031,place-bcnfd,70177,Beaconsfield - Outbound
173,9.899494937,9.363961031,place-bcnfd,70176,Beaconsfield - Inbound
1566,10.60660172,8.656854249,place-rsmnl,70175,Reservoir - Outbound
1565,10.60660172,8.656854249,place-rsmnl,70174,Reservoir - Inbound
411,11.3137085,7.949747468,place-chhil,70173,Chestnut Hill - Outbound
410,11.3137085,7.949747468,place-chhil,70172,Chestnut Hill - Inbound
1136,12.02081528,7.242640687,place-newto,70171,Newton Centre - Outbound
1135,12.02081528,7.242640687,place-newto,70170,Newton Centre - Inbound
1127,12.72792206,6.535533906,place-newtn,70169,Newton Highlands - Outbound
1126,12.72792206,6.535533906,place-newtn,70168,Newton Highlands - Inbound
573,13.43502884,5.828427125,place-eliot,70167,Eliot - Outbound
572,13.43502884,5.828427125,place-eliot,70166,Eliot - Inbound
1881,14.14213562,5.121320344,place-waban,70165,Waban - Outbound
1880,14.14213562,5.121320344,place-waban,70164,Waban - Inbound
1962,14.8492424,4.414213562,place-woodl,70163,Woodland - Outbound
1961,14.8492424,4.414213562,place-woodl,70162,Woodland - Inbound
1550,14.8492424,3.414213562,place-river,70161,Riverside - Outbound
1549,14.8492424,3.414213562,place-river,70160,Riverside - Inbound
257,5.656854249,17.60660172,place-boyls,70159,Boylston - Outbound
256,5.656854249,17.60660172,place-boyls,70158,Boylston - Inbound
60,5.656854249,16.60660172,place-armnl,70157,Arlington - Outbound
59,5.656854249,16.60660172,place-armnl,70156,Arlington - Inbound
477,5.656854249,15.60660172,place-coecl,70155,Copley - Outbound
476,5.656854249,15.60660172,place-coecl,70154,Copley - Inbound
828,5.656854249,14.60660172,place-hymnl,70153,Hynes - Outbound
827,5.656854249,14.60660172,place-hymnl,70152,Hynes - Inbound
905,5.656854249,13.60660172,place-kencl,70151,Kenmore - Outbound
904,5.656854249,13.60660172,place-kencl,70150,Kenmore - Inbound
208,4.949747468,12.89949494,place-bland,70149,Blandford Street - Outbound
207,4.949747468,12.89949494,place-bland,70148,Blandford Street - Inbound
339,4.242640687,12.19238816,place-buest,70147,Boston Univ East - Outbound
338,4.242640687,12.19238816,place-buest,70146,Boston Univ East - Inbound
330,3.535533906,11.48528137,place-bucen,70145,Boston Univ Central - Outbound
