,stop_id_old,stop_code_old,stop_name_old,stop_desc_old,stop_lat,stop_lon,zone_id_old,stop_url_old,location_type_old,parent_station_old,wheelchair_boarding_old,stop_id_new,stop_code_new,stop_name_new,stop_desc_new,zone_id_new,stop_url_new,location_type_new,parent_station_new,wheelchair_boarding_new
0,place-alfcl,,Alewife,,42.395428,-71.142483,,,1.0,,1.0,141,141.0,Alewife Station Busway,,,,0.0,place-alfcl,0.0
1,place-alfcl,,Alewife,,42.395428,-71.142483,,,1.0,,1.0,70061,70061.0,Alewife,,,,0.0,place-alfcl,1.0
2,place-alfcl,,Alewife,,42.395428,-71.142483,,,1.0,,1.0,place-alfcl,,Alewife,,,,1.0,,1.0
3,141,141.0,Alewife Station Busway,,42.395428,-71.142483,,,0.0,place-alfcl,0.0,141,141.0,Alewife Station Busway,,,,0.0,place-alfcl,0.0
4,141,141.0,Alewife Station Busway,,42.395428,-71.142483,,,0.0,place-alfcl,0.0,70061,70061.0,Alewife,,,,0.0,place-alfcl,1.0
5,141,141.0,Alewife Station Busway,,42.395428,-71.142483,,,0.0,place-alfcl,0.0,place-alfcl,,Alewife,,,,1.0,,1.0
6,70061,70061.0,Alewife,,42.395428,-71.142483,,,0.0,place-alfcl,0.0,141,141.0,Alewife Station Busway,,,,0.0,place-alfcl,0.0
7,70061,70061.0,Alewife,,42.395428,-71.142483,,,0.0,place-alfcl,0.0,70061,70061.0,Alewife,,,,0.0,place-alfcl,1.0
8,70061,70061.0,Alewife,,42.395428,-71.142483,,,0.0,place-alfcl,0.0,place-alfcl,,Alewife,,,,1.0,,1.0
9,place-alsgr,,Allston Street,,42.348701,-71.137955,,,1.0,,2.0,70126,70126.0,Allston Street - Inbound,,,,0.0,place-alsgr,2.0
10,place-alsgr,,Allston Street,,42.348701,-71.137955,,,1.0,,2.0,70127,70127.0,Allston Street - Outbound,,,,0.0,place-alsgr,2.0
11,place-alsgr,,Allston Street,,42.348701,-71.137955,,,1.0,,2.0,place-alsgr,,Allston Street,,,,1.0,,2.0
12,70126,70126.0,Allston Street - Inbound,,42.348701,-71.137955,,,0.0,place-alsgr,0.0,70126,70126.0,Allston Street - Inbound,,,,0.0,place-alsgr,2.0
