"","from_stop","to_stop","from.stop.code","from.stop.name","from.stop.desc","from.parent.stat","to.stop.code","to.stop.name","to.stop.desc","to.parent.stat"
"1",70004,70002,70004,"Stony Brook","Stony Brook - Orange Line - Forest Hills","place-sbmnl",70002,"Green Street","Green Street - Orange Line - Forest Hills","place-grnst"
"2",70001,70003,70001,"Forest Hills","Forest Hills - Orange Line","place-forhl",70003,"Green Street","Green Street - Orange Line - Oak Grove","place-grnst"
"3",70006,70004,70006,"Jackson Square","Jackson Square - Orange Line - Forest Hills","place-jaksn",70004,"Stony Brook","Stony Brook - Orange Line - Forest Hills","place-sbmnl"
"4",70003,70005,70003,"Green Street","Green Street - Orange Line - Oak Grove","place-grnst",70005,"Stony Brook","Stony Brook - Orange Line - Oak Grove","place-sbmnl"
"5",70008,70006,70008,"Roxbury Crossing","Roxbury Crossing - Orange Line - Forest Hills","place-rcmnl",70006,"Jackson Square","Jackson Square - Orange Line - Forest Hills","place-jaksn"
"6",70005,70007,70005,"Stony Brook","Stony Brook - Orange Line - Oak Grove","place-sbmnl",70007,"Jackson Square","Jackson Square - Orange Line - Oak Grove","place-jaksn"
"7",70010,70008,70010,"Ruggles","Ruggles - Orange Line - Forest Hills","place-rugg",70008,"Roxbury Crossing","Roxbury Crossing - Orange Line - Forest Hills","place-rcmnl"
"8",70007,70009,70007,"Jackson Square","Jackson Square - Orange Line - Oak Grove","place-jaksn",70009,"Roxbury Crossing","Roxbury Crossing - Orange Line - Oak Grove","place-rcmnl"
"9",70012,70010,70012,"Massachusetts Avenue","Massachusetts Avenue - Orange Line - Forest Hills","place-masta",70010,"Ruggles","Ruggles - Orange Line - Forest Hills","place-rugg"
"10",70009,70011,70009,"Roxbury Crossing","Roxbury Crossing - Orange Line - Oak Grove","place-rcmnl",70011,"Ruggles","Ruggles - Orange Line - Oak Grove","place-rugg"
"11",70014,70012,70014,"Back Bay","Back Bay - Orange Line - Forest Hills","place-bbsta",70012,"Massachusetts Avenue","Massachusetts Avenue - Orange Line - Forest Hills","place-masta"
"12",70011,70013,70011,"Ruggles","Ruggles - Orange Line - Oak Grove","place-rugg",70013,"Massachusetts Avenue","Massachusetts Avenue - Orange Line - Oak Grove","place-masta"
"13",70016,70014,70016,"Tufts Medical Center","Tufts Medical Center - Orange Line - Forest Hills","place-tumnl",70014,"Back Bay","Back Bay - Orange Line - Forest Hills","place-bbsta"
"14",70013,70015,70013,"Massachusetts Avenue","Massachusetts Avenue - Orange Line - Oak Grove","place-masta",70015,"Back Bay","Back Bay - Orange Line - Oak Grove","place-bbsta"
"15",70018,70016,70018,"Chinatown","Chinatown - Orange Line - Forest Hills","place-chncl",70016,"Tufts Medical Center","Tufts Medical Center - Orange Line - Forest Hills","place-tumnl"
"16",70015,70017,70015,"Back Bay","Back Bay - Orange Line - Oak Grove","place-bbsta",70017,"Tufts Medical Center","Tufts Medical Center - Orange Line - Oak Grove","place-tumnl"
