"","origin_name","dest_name","dep_time_by15.x","origin_id","dest_id","route_id","benchmark_travel_time_sec","orig_name_old","dest_name_old","link","avg_pct_benchmark"
"1","Airport - Blue Line - Bowdoin","Maverick - Blue Line - Bowdoin","2017-12-28 08:29:00",70047,70045,"Blue",120,"place-aport","place-mvbcl","place-aport|place-mvbcl",1.1
"2","Airport - Blue Line - Wonderland","Wood Island - Blue Line - Wonderland","2017-12-28 08:29:00",70048,70050,"Blue",120,"place-aport","place-wimnl","place-aport|place-wimnl",0.5
"3","Alewife - Red Line","Davis - Red Line - Ashmont/Braintree","2017-12-28 08:29:00",70061,70063,"Red",120,"place-alfcl","place-davis","place-alfcl|place-davis",1.01388888888889
"4","Allston Street - Green Line - (B) Boston College","Warren Street - Green Line - (B) Boston College","2017-12-28 08:29:00",70127,70125,"Green-B",60,"place-alsgr","place-wrnst","place-alsgr|place-wrnst",0.25
"5","Allston Street - Green Line - Park Street & North","Griggs Street - Green Line - Park Street & North","2017-12-28 08:29:00",70126,70128,"Green-B",60,"place-alsgr","place-grigg","place-alsgr|place-grigg",0.438888888888889
"6","Andrew - Red Line - Alewife","Broadway - Red Line - Alewife","2017-12-28 08:29:00",70084,70082,"Red",120,"place-andrw","place-brdwy","place-andrw|place-brdwy",1.275
"7","Andrew - Red Line - Ashmont/Braintree","JFK/UMass - Red Line - Ashmont","2017-12-28 08:29:00",70083,70085,"Red",180,"place-andrw","place-jfk","place-andrw|place-jfk",1.16666666666667
"8","Aquarium - Blue Line - Bowdoin","State Street - Blue Line - Bowdoin","2017-12-28 08:29:00",70043,70041,"Blue",120,"place-aqucl","place-state","place-aqucl|place-state",0.258333333333333
"9","Aquarium - Blue Line - Wonderland","Maverick - Blue Line - Wonderland","2017-12-28 08:29:00",70044,70046,"Blue",180,"place-aqucl","place-mvbcl","place-aqucl|place-mvbcl",0.62
"10","Arlington - Green Line - Copley & West","Copley - Green Line - Kenmore & West/Heath Street","2017-12-28 08:29:00",70157,70155,"Green-C",120,"place-armnl","place-coecl","place-armnl|place-coecl",0.424242424242424
"11","Arlington - Green Line - Park Street & North","Boylston - Green Line - Park Street & North","2017-12-28 08:29:00",70156,70158,"Green-D",180,"place-armnl","place-boyls","place-armnl|place-boyls",1.11728395061728
"12","Assembly - Orange Line - Forest Hills","Sullivan Square - Orange Line - Forest Hills","2017-12-28 08:29:00",70278,70030,"Orange",120,"place-astao","place-sull","place-astao|place-sull",0.461111111111111
