,arr_dt,benchmark_travel_time_sec,dep_dt,dest_id,dest_name,direction,origin_id,origin_name,route_id,threshold_flag_1,threshold_flag_2,threshold_flag_3,travel_time_sec
0,1514419319,1320,1514417724,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1595
1,1514419640,1320,1514417978,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1662
2,1514419838,1320,1514418181,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1657
3,1514420053,1320,1514418404,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1649
4,1514420245,1320,1514418579,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1666
5,1514420439,1320,1514418840,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1599
6,1514420642,1320,1514419014,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1628
7,1514420868,1320,1514419245,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1623
8,1514421092,1320,1514419421,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1671
9,1514421268,1320,1514419668,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1600
10,1514421564,1320,1514419858,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,,1706
11,1514421761,1320,1514420122,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1639
12,1514421995,1320,1514420464,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1531
13,1514422252,1320,1514420804,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1448
14,1514422423,1320,1514421068,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1355
15,1514422616,1320,1514421349,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1267
16,1514422928,1240,1514421682,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1246
17,1514423435,1240,1514422188,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1247
18,1514423700,1240,1514422459,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1241
19,1514424112,1240,1514422891,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1221
20,1514424582,1240,1514423288,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1294
21,1514424999,1200,1514423770,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1229
22,1514425249,1200,1514423977,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1272
23,1514425623,1200,1514424465,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1158
24,1514425916,1200,1514424681,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1235
25,1514426150,1200,1514424959,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1191
26,1514426725,1200,1514425552,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1173
27,1514427012,1200,1514425810,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1202
28,1514427487,1200,1514426318,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1169
29,1514427827,1200,1514426565,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1262
30,1514428424,1200,1514427094,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1330
31,1514428646,1200,1514427423,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1223
32,1514429202,1200,1514427934,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1268
33,1514429482,1200,1514428250,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1232
34,1514429767,1200,1514428557,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1210
35,1514430142,1200,1514428919,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1223
36,1514430495,1200,1514429291,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1204
37,1514430901,1200,1514429646,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1255
38,1514431192,1200,1514429995,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1197
39,1514431609,1200,1514430360,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1249
40,1514431851,1200,1514430699,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1152
41,1514432284,1200,1514431016,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1268
42,1514432602,1200,1514431383,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1219
43,1514432821,1200,1514431621,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1200
44,1514433182,1200,1514432002,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1180
45,1514433737,1200,1514432468,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1269
46,1514434059,1200,1514432873,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1186
47,1514434477,1200,1514433215,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1262
48,1514434708,1200,1514433488,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1220
49,1514435349,1200,1514434059,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1290
50,1514435595,1200,1514434349,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1246
51,1514436016,1200,1514434780,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1236
52,1514436319,1200,1514435149,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1170
53,1514436686,1200,1514435402,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1284
54,1514436958,1200,1514435761,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1197
55,1514437309,1200,1514436088,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1221
56,1514437538,1200,1514436401,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1137
57,1514437999,1200,1514436817,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1182
58,1514438190,1200,1514437014,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1176
59,1514438422,1200,1514437237,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1185
60,1514438899,1200,1514437771,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1128
61,1514439492,1200,1514438316,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1176
62,1514440211,1200,1514439018,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1193
63,1514458645,1140,1514457424,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1221
64,1514459114,1140,1514457861,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1253
65,1514459735,1140,1514458474,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1261
66,1514460512,1140,1514459214,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1298
67,1514461018,1140,1514459697,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1321
68,1514461250,1140,1514460014,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1236
69,1514461681,1140,1514460385,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1296
70,1514461912,1140,1514460740,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1172
71,1514462230,1140,1514461031,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1199
72,1514462922,1277,1514461581,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1341
73,1514463663,1277,1514461831,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,,1832
74,1514464059,1277,1514462294,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,,1765
75,1514464905,1320,1514463677,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1228
76,1514465327,1320,1514464019,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1308
77,1514466771,1320,1514464403,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,threshold_id_06,2368
78,1514467586,1320,1514466016,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1570
79,1514467807,1320,1514466260,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1547
80,1514468010,1320,1514466588,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1422
81,1514468205,1320,1514466767,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1438
82,1514468459,1320,1514466992,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1467
83,1514468683,1320,1514467180,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1503
84,1514468888,1320,1514467514,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1374
85,1514469137,1320,1514467736,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1401
86,1514469305,1320,1514467943,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1362
87,1514469505,1320,1514468261,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1244
88,1514469824,1320,1514468502,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1322
89,1514470009,1320,1514468669,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1340
90,1514470233,1320,1514468913,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1320
91,1514470414,1320,1514469126,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1288
92,1514470608,1320,1514469360,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1248
93,1514470801,1320,1514469575,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1226
94,1514471187,1320,1514469817,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1370
95,1514471403,1222,1514470128,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1275
96,1514471795,1222,1514470420,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1375
97,1514472041,1222,1514470770,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1271
98,1514472467,1222,1514471090,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1377
99,1514472776,1222,1514471558,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1218
100,1514473172,1222,1514471931,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1241
101,1514473446,1200,1514472247,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1199
102,1514473850,1200,1514472615,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1235
103,1514474276,1200,1514473058,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1218
104,1514477325,1200,1514473877,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,threshold_id_06,3448
105,1514477914,1200,1514474764,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,threshold_id_06,3150
106,1514478141,1200,1514475009,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,threshold_id_06,3132
107,1514478329,1200,1514475182,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,threshold_id_06,3147
108,1514478495,1200,1514476868,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,,1627
109,1514478675,1200,1514477111,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,,1564
110,1514478865,1200,1514477422,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1443
111,1514479294,1200,1514477714,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,,1580
112,1514479560,1200,1514477894,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,,1666
113,1514479961,1200,1514478310,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,,1651
114,1514480162,1200,1514478804,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1358
115,1514480736,1200,1514479324,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1412
116,1514481039,1200,1514479681,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1358
117,1514481447,1200,1514480188,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1259
118,1514481938,1200,1514480690,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1248
119,1514482585,1200,1514481301,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1284
120,1514482916,1200,1514481592,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1324
121,1514483268,1200,1514482056,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1212
122,1514484051,1200,1514482531,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1520
123,1514484894,1200,1514482916,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,threshold_id_06,1978
124,1514486044,1200,1514483733,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,threshold_id_05,threshold_id_06,2311
125,1514486301,1200,1514484888,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1413
126,1514486554,1200,1514485140,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1414
127,1514486748,1200,1514485345,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1403
128,1514486992,1200,1514485590,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,threshold_id_04,,,1402
129,1514487183,1200,1514485867,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1316
130,1514487523,1200,1514486208,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1315
131,1514487844,1260,1514486568,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1276
132,1514488375,1260,1514487017,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1358
133,1514488652,1260,1514487343,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1309
134,1514489129,1260,1514487796,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1333
135,1514489343,1260,1514488107,70077,Downtown Crossing - to Ashmont/Braintree,0,70061,Alewife,Red,,,,1236
