,to_stop,from_stop
0,70057,70060
1,70055,70057
2,70053,70055
3,70051,70053
4,70049,70051
5,70047,70049
6,70045,70047
7,70043,70045
8,70022,70043
9,70039,70022
10,70038,70039
11,70034,70036
12,70032,70034
13,70278,70032
14,70030,70278
15,70028,70030
16,70026,70028
17,70024,70026
18,70022,70024
19,70020,70022
20,70018,70020
21,70016,70018
22,70014,70016
23,70012,70014
24,70010,70012
25,70008,70010
26,70006,70008
27,70004,70006
28,70002,70004
29,70001,70002
30,70063,70061
31,70065,70063
32,70067,70065
33,70069,70067
34,70071,70069
35,70073,70071
36,70075,70073
37,70020,70075
38,70079,70020
39,70081,70079
40,70083,70081
41,70085,70083
42,70087,70085
43,70089,70087
44,70091,70089
45,70093,70091
46,70097,70085
47,70099,70097
48,70101,70099
49,70103,70101
50,70105,70103
51,70207,70209
52,70026,70207
53,70024,70026
54,70039,70024
55,70075,70039
56,70158,70075
57,70156,70158
58,70154,70156
59,70152,70154
60,70150,70152
61,70148,70150
62,70146,70148
63,70144,70146
64,70142,70144
65,70140,70142
66,70138,70140
67,70136,70138
68,70134,70136
69,70130,70134
70,70128,70130
71,70126,70128
72,70124,70126
73,70120,70124
74,70116,70120
75,70114,70116
76,70112,70114
77,70110,70112
78,70106,70110
79,70211,70150
80,70213,70211
81,70215,70213
82,70217,70215
83,70219,70217
84,70223,70219
85,70225,70223
86,70227,70225
87,70229,70227
88,70231,70229
89,70233,70231
90,70235,70233
91,70237,70235
92,70186,70150
93,70182,70186
94,70180,70182
95,70178,70180
96,70176,70178
97,70174,70176
98,70172,70174
99,70170,70172
100,70168,70170
101,70166,70168
102,70164,70166
103,70162,70164
104,70160,70162
105,70239,70154
106,70241,70239
107,70243,70241
108,70245,70243
109,70247,70245
110,70249,70247
111,70251,70249
112,70253,70251
113,70255,70253
114,70257,70255
115,70259,70257
