from_stop,to_stop,Line
70001,70003,Orange Line - toward Oak Grove
70003,70005,Orange Line - toward Oak Grove
70005,70007,Orange Line - toward Oak Grove
70007,70009,Orange Line - toward Oak Grove
70009,70011,Orange Line - toward Oak Grove
70011,70013,Orange Line - toward Oak Grove
70013,70015,Orange Line - toward Oak Grove
70015,70017,Orange Line - toward Oak Grove
70017,70019,Orange Line - toward Oak Grove
70019,70021,Orange Line - toward Oak Grove
70021,70023,Orange Line - toward Oak Grove
70023,70025,Orange Line - toward Oak Grove
70025,70027,Orange Line - toward Oak Grove
70027,70029,Orange Line - toward Oak Grove
70029,70031,Orange Line - toward Oak Grove
70031,70279,Orange Line - toward Oak Grove
70279,70033,Orange Line - toward Oak Grove
70033,70035,Orange Line - toward Oak Grove
70036,70034,Orange Line - toward Forest Hills
70034,70032,Orange Line - toward Forest Hills
70032,70278,Orange Line - toward Forest Hills
70278,70030,Orange Line - toward Forest Hills
70030,70028,Orange Line - toward Forest Hills
70028,70026,Orange Line - toward Forest Hills
70026,70024,Orange Line - toward Forest Hills
70024,70022,Orange Line - toward Forest Hills
70022,70020,Orange Line - toward Forest Hills
70020,70018,Orange Line - toward Forest Hills
70018,70016,Orange Line - toward Forest Hills
70016,70014,Orange Line - toward Forest Hills
70014,70012,Orange Line - toward Forest Hills
70012,70010,Orange Line - toward Forest Hills
70010,70008,Orange Line - toward Forest Hills
70008,70006,Orange Line - toward Forest Hills
70006,70004,Orange Line - toward Forest Hills
70004,70002,Orange Line - toward Forest Hills
70038,70040,Blue Line - toward Wonderland
70040,70042,Blue Line - toward Wonderland
70042,70044,Blue Line - toward Wonderland
70044,70046,Blue Line - toward Wonderland
70046,70048,Blue Line - toward Wonderland
70048,70050,Blue Line - toward Wonderland
70050,70052,Blue Line - toward Wonderland
70052,70054,Blue Line - toward Wonderland
70054,70056,Blue Line - toward Wonderland
70056,70058,Blue Line - toward Wonderland
70058,70060,Blue Line - toward Wonderland
70059,70057,Blue Line - toward Bowdoin
70057,70055,Blue Line - toward Bowdoin
70055,70053,Blue Line - toward Bowdoin
70053,70051,Blue Line - toward Bowdoin
70051,70049,Blue Line - toward Bowdoin
70049,70047,Blue Line - toward Bowdoin
70047,70045,Blue Line - toward Bowdoin
70045,70043,Blue Line - toward Bowdoin
70043,70041,Blue Line - toward Bowdoin
70041,70039,Blue Line - toward Bowdoin
70061,70063,Red Line - toward Ashmont/Braintree
70063,70065,Red Line - toward Ashmont/Braintree
70065,70067,Red Line - toward Ashmont/Braintree
70067,70069,Red Line - toward Ashmont/Braintree
70069,70071,Red Line - toward Ashmont/Braintree
70071,70073,Red Line - toward Ashmont/Braintree
70073,70075,Red Line - toward Ashmont/Braintree
70075,70077,Red Line - toward Ashmont/Braintree
70077,70079,Red Line - toward Ashmont/Braintree
70079,70081,Red Line - toward Ashmont/Braintree
70081,70083,Red Line - toward Ashmont/Braintree
70083,70085,Red Line - toward Ashmont/Braintree
70085,70087,Red Line - toward Ashmont/Braintree
70087,70089,Red Line - toward Ashmont/Braintree
70089,70091,Red Line - toward Ashmont/Braintree
70091,70093,Red Line - toward Ashmont/Braintree
70094,70092,Red Line - toward Alewife
70092,70090,Red Line - toward Alewife
70090,70088,Red Line - toward Alewife
70088,70086,Red Line - toward Alewife
70086,70084,Red Line - toward Alewife
70084,70082,Red Line - toward Alewife
70082,70080,Red Line - toward Alewife
70080,70078,Red Line - toward Alewife
70078,70076,Red Line - toward Alewife
70076,70074,Red Line - toward Alewife
70074,70072,Red Line - toward Alewife
70072,70070,Red Line - toward Alewife
70070,70068,Red Line - toward Alewife
70068,70066,Red Line - toward Alewife
70066,70064,Red Line - toward Alewife
70064,70062,Red Line - toward Alewife
70083,70095,Red Line - toward Ashmont/Braintree
70095,70097,Red Line - toward Ashmont/Braintree
70097,70099,Red Line - toward Ashmont/Braintree
70099,70101,Red Line - toward Ashmont/Braintree
70101,70103,Red Line - toward Ashmont/Braintree
70103,70105,Red Line - toward Ashmont/Braintree
70104,70102,Red Line - toward Alewife
70102,70100,Red Line - toward Alewife
70100,70098,Red Line - toward Alewife
70098,70096,Red Line - toward Alewife
70096,70084,Red Line - toward Alewife
70106,70110,Green Line - B Branch - toward Park/Lechmere
70110,70112,Green Line - B Branch - toward Park/Lechmere
70112,70114,Green Line - B Branch - toward Park/Lechmere
70114,70116,Green Line - B Branch - toward Park/Lechmere
70116,70118,Green Line - B Branch - toward Park/Lechmere
70118,70120,Green Line - B Branch - toward Park/Lechmere
70120,70122,Green Line - B Branch - toward Park/Lechmere
70122,70124,Green Line - B Branch - toward Park/Lechmere
70124,70126,Green Line - B Branch - toward Park/Lechmere
70126,70128,Green Line - B Branch - toward Park/Lechmere
70128,70130,Green Line - B Branch - toward Park/Lechmere
70130,70132,Green Line - B Branch - toward Park/Lechmere
70132,70134,Green Line - B Branch - toward Park/Lechmere
70134,70136,Green Line - B Branch - toward Park/Lechmere
70136,70138,Green Line - B Branch - toward Park/Lechmere
70138,70140,Green Line - B Branch - toward Park/Lechmere
70140,70142,Green Line - B Branch - toward Park/Lechmere
70142,70144,Green Line - B Branch - toward Park/Lechmere
70144,70146,Green Line - B Branch - toward Park/Lechmere
70146,70148,Green Line - B Branch - toward Park/Lechmere
70149,70147,Green Line - B Branch - toward Boston College
70147,70145,Green Line - B Branch - toward Boston College
70145,70143,Green Line - B Branch - toward Boston College
70143,70141,Green Line - B Branch - toward Boston College
70141,70139,Green Line - B Branch - toward Boston College
70139,70137,Green Line - B Branch - toward Boston College
70137,70135,Green Line - B Branch - toward Boston College
70135,70133,Green Line - B Branch - toward Boston College
70133,70131,Green Line - B Branch - toward Boston College
70131,70129,Green Line - B Branch - toward Boston College
70129,70127,Green Line - B Branch - toward Boston College
70127,70125,Green Line - B Branch - toward Boston College
