STATION,LINE,TERMINUS,ROUTE,Geo_TRACT,Geo_GEOID,total_pop,med_incom,gini
Quincy Center,RED,N,B - Braintree  C - Alewife,417701,14000US25021417701,5283,46852,0.4498
Quincy Adams,RED,N,B - Braintree  C - Alewife,418004,14000US25021418004,4406,57202,0.3955
Milton,RED,N,Mattapan Trolley,416400,14000US25021416400,6051,122216,0.4179
North Quincy,RED,N,B - Braintree  C - Alewife,417200,14000US25021417200,8234,62188,0.4445
Wollaston,RED,N,B - Braintree  C - Alewife,417200,14000US25021417200,8234,62188,0.4445
Capen Street,RED,N,Mattapan Trolley,416300,14000US25021416300,4923,121080,0.4811
Central Avenue,RED,N,Mattapan Trolley,416300,14000US25021416300,4923,121080,0.4811
Valley Road,RED,N,Mattapan Trolley,416300,14000US25021416300,4923,121080,0.4811
Brookline Village,GREEN,N,D - Riverside,400900,14000US25021400900,4399,64797,0.5468
Brookline Hills,GREEN,N,D - Riverside,400700,14000US25021400700,3365,134792,0.4121
Tappan Street,GREEN,N,C - Cleveland Circle,400400,14000US25021400400,5675,95278,0.5568
Washington Square,GREEN,N,C - Cleveland Circle,400400,14000US25021400400,5675,95278,0.5568
Fairbanks Street,GREEN,N,C - Cleveland Circle,400400,14000US25021400400,5675,95278,0.5568
Brandon Hall,GREEN,N,C - Cleveland Circle,400400,14000US25021400400,5675,95278,0.5568
Summit Ave/Winchester St,GREEN,N,C - Cleveland Circle,400400,14000US25021400400,5675,95278,0.5568
Coolidge Corner,GREEN,N,C - Cleveland Circle,400400,14000US25021400400,5675,95278,0.5568
Englewood Avenue,GREEN,N,C - Cleveland Circle,400600,14000US25021400600,5323,105230,0.5345
Dean Road,GREEN,N,C - Cleveland Circle,400600,14000US25021400600,5323,105230,0.5345
Beaconsfield,GREEN,N,D - Riverside,400600,14000US25021400600,5323,105230,0.5345
Reservoir,GREEN,N,D - Riverside,400600,14000US25021400600,5323,105230,0.5345
Saint Paul Street,GREEN,N,C - Cleveland Circle,400200,14000US25021400200,6074,65845,0.5931
Kent Street,GREEN,N,C - Cleveland Circle,400100,14000US25021400100,5071,97132,0.5192
Hawes Street,GREEN,N,C - Cleveland Circle,400100,14000US25021400100,5071,97132,0.5192
Saint Marys Street,GREEN,N,C - Cleveland Circle,400100,14000US25021400100,5071,97132,0.5192
Longwood,GREEN,N,D - Riverside,400100,14000US25021400100,5071,97132,0.5192
Braintree,RED,Y,B - Braintree  C - Alewife,419800,14000US25021419800,4381,82784,0.3948
Ruggles,ORANGE,N,Forest Hills to Oak Grove,10405,14000US25025010405,6015,19395,0.5112
Massachusetts Ave,ORANGE,N,Forest Hills to Oak Grove,10405,14000US25025010405,6015,19395,0.5112
Symphony,GREEN,N,E - Health Street,10405,14000US25025010405,6015,19395,0.5112
Northeastern,GREEN,N,E - Health Street,10405,14000US25025010405,6015,19395,0.5112
Museum Of Fine Arts,GREEN,N,E - Health Street,10405,14000US25025010405,6015,19395,0.5112
Arlington,GREEN,N,B C D E,10702,14000US25025010702,2486,121553,0.5645
Fenway Park,GREEN,N,D - Riverside,10204,14000US25025010204,3277,31196,0.6375
Kenmore,GREEN,N,B C D,10104,14000US25025010104,4837,57500,0.574
Babcock Street,GREEN,N,B - Boston College,703,14000US25025000703,1958,32002,0.5004
Packards Corner,GREEN,N,B - Boston College,703,14000US25025000703,1958,32002,0.5004
Harvard Avenue,GREEN,N,B - Boston College,703,14000US25025000703,1958,32002,0.5004
Washington Street,GREEN,N,B - Boston College,504,14000US25025000504,4516,48676,0.4701
Griggs Street,GREEN,N,B - Boston College,704,14000US25025000704,4520,50577,0.462
Blandford Street,GREEN,N,B - Boston College,10103,14000US25025010103,3695,30717,0.6228
Boston University East,GREEN,N,B - Boston College,10103,14000US25025010103,3695,30717,0.6228
Boston University Central,GREEN,N,B - Boston College,10103,14000US25025010103,3695,30717,0.6228
Boston University West,GREEN,N,B - Boston College,803,14000US25025000803,6351,44286,0.4771
Saint Paul Street,GREEN,N,B - Boston College,803,14000US25025000803,6351,44286,0.4771
Pleasant Street,GREEN,N,B - Boston College,803,14000US25025000803,6351,44286,0.4771
Ashmont,RED,Y,A - Ashmont  C - Alewife,100800,14000US25025100800,6409,73868,0.4745
Cedar Grove,RED,N,Mattapan Trolley,100800,14000US25025100800,6409,73868,0.4745
Butler,RED,N,Mattapan Trolley,100800,14000US25025100800,6409,73868,0.4745
Heath Street,GREEN,Y,E - Health Street,120700,14000US25025120700,2205,85788,0.4766
Stony Brook,ORANGE,N,Forest Hills to Oak Grove,120500,14000US25025120500,2665,68413,0.4654
Green Street,ORANGE,N,Forest Hills to Oak Grove,120400,14000US25025120400,6757,84007,0.4425
Mattapan,RED,Y,Mattapan Trolley,101002,14000US25025101002,5307,37588,0.4811
Alewife,RED,Y,A - Ashmont  B - Braintree  C - Alewife,354900,14000US25017354900,6553,54507,0.5089
Porter,RED,N,A - Ashmont  B - Braintree  C - Alewife,354700,14000US25017354700,2750,101027,0.4488
Davis,RED,N,A - Ashmont  B - Braintree  C - Alewife,350500,14000US25017350500,1510,97344,0.407
Harvard,RED,N,A - Ashmont  B - Braintree  C - Alewife,353700,14000US25017353700,5754,70150,0.5174
Waban,GREEN,N,D - Riverside,374300,14000US25017374300,3656,184196,0.4296
Woodland,GREEN,N,D - Riverside,374300,14000US25017374300,3656,184196,0.4296
