,travel_time_sec,origin_id,benchmark_travel_time_sec,origin_name,route_id,STATION_x,match_name,score,STATION_y,LINE,TERMINUS,ROUTE,Geo_TRACT,Geo_GEOID,total_pop,med_incom,gini,percent_over_benchmark
2,1816.0,70126,1999.090909090909,'Allston Street - Inbound',['Green-B'],'Allston Street - Inbound',Allston Street,70,Allston Street,GREEN,N,B - Boston College,701,14000US25025000701,3923,49600,0.4682,0.9084129149613461
4,201.73708920187792,70156,282.6924882629108,'Arlington - Inbound',['Green-D' 'Green-E' 'Green-C' 'Green-B'],'Arlington - Inbound',Arlington,60,Arlington,GREEN,N,B C D E,10702,14000US25025010702,2486,121553,0.5645,0.7136273427055394
6,1385.75,70136,1520.8333333333333,'Babcock Street - Inbound',['Green-B'],'Babcock Street - Inbound',Babcock Street,70,Babcock Street,GREEN,N,B - Boston College,703,14000US25025000703,1958,32002,0.5004,0.9111780821917809
8,1467.96,70258,1598.72,'Back of the Hill - Inbound',['Green-E'],'Back of the Hill - Inbound',Back Of The Hill,64,Back Of The Hill,GREEN,N,E - Health Street,81100,14000US25025081100,4156,41146,0.5497,0.9182095676541233
10,1335.6990291262136,70176,1514.009708737864,'Beaconsfield - Inbound',['Green-D'],'Beaconsfield - Inbound',Beaconsfield,67,Beaconsfield,GREEN,N,D - Riverside,400600,14000US25021400600,5323,105230,0.5345,0.8822261980338971
11,881.9166666666666,70148,896.25,'Blandford Street - Inbound',['Green-B'],'Blandford Street - Inbound',Blandford Street,73,Blandford Street,GREEN,N,B - Boston College,10103,14000US25025010103,3695,30717,0.6228,0.9840074384007438
12,2611.909090909091,70106,2757.2727272727275,'Boston College - Inbound',['Green-B'],'Boston College - Inbound',Boston College,70,Boston College,GREEN,Y,B - Boston College,373500,14000US25017373500,6367,188333,0.5188,0.9472799208704252
13,1040.5833333333333,70144,1076.25,'Boston Univ Central - Inbound',['Green-B'],'Boston Univ Central - Inbound',Boston University Central,68,Boston University Central,GREEN,N,B - Boston College,10103,14000US25025010103,3695,30717,0.6228,0.9668602400309717
14,958.1818181818181,70146,1015.9090909090909,'Boston Univ East - Inbound',['Green-B'],'Boston Univ East - Inbound',Boston University East,64,Boston University East,GREEN,N,B - Boston College,10103,14000US25025010103,3695,30717,0.6228,0.9431767337807606
15,1182.75,70142,1316.25,'Boston Univ West - Inbound',['Green-B'],'Boston Univ West - Inbound',Boston University West,64,Boston University West,GREEN,N,B - Boston College,803,14000US25025000803,6351,44286,0.4771,0.8985754985754986
17,51.76580796252927,70158,118.63466042154566,'Boylston - Inbound',['Green-D' 'Green-E' 'Green-C' 'Green-B'],'Boylston - Inbound',Boylston,57,Boylston,GREEN,N,B C D E,981700,14000US25025981700,0,0,0.0,0.4363464081963006
18,1390.9320388349515,70226,1598.8252427184466,'Brandon Hall - Inbound',['Green-C'],'Brandon Hall - Inbound',Brandon Hall,67,Brandon Hall,GREEN,N,C - Cleveland Circle,400400,14000US25021400400,5675,95278,0.5568,0.8699712774549275
19,1041.0102040816328,70250,1220.1734693877552,'Brigham Circle - Inbound',['Green-E'],'Brigham Circle - Inbound',Brigham Circle,70,Brigham Circle,GREEN,N,E - Health Street,80900,14000US25025080900,3727,50988,0.4411,0.8531657425759135
20,1204.433962264151,70178,1337.0566037735848,'Brookline Hills - Inbound',['Green-D'],'Brookline Hills - Inbound',Brookline Hills,71,Brookline Hills,GREEN,N,D - Riverside,400700,14000US25021400700,3365,134792,0.4121,0.9008100022578461
21,1091.2314814814815,70180,1218.9074074074074,'Brookline Village - Inbound',['Green-D'],'Brookline Village - Inbound',Brookline Village,74,Brookline Village,GREEN,N,D - Riverside,400900,14000US25021400900,4399,64797,0.5468,0.8952537943817324
24,1651.5102040816328,70172,1883.0204081632653,'Chestnut Hill - Inbound',['Green-D'],'Chestnut Hill - Inbound',Chestnut Hill Avenue,71,Chestnut Hill Avenue,GREEN,N,B - Boston College,503,14000US25025000503,2076,56522,0.45899999999999996,0.877053799800581
25,2334.5,70112,2570.8333333333335,'Chestnut Hill Avenue - Inbound',['Green-B'],'Chestnut Hill Avenue - Inbound',Chestnut Hill Avenue,77,Chestnut Hill Avenue,GREEN,N,B - Boston College,503,14000US25025000503,2076,56522,0.45899999999999996,0.9080713128038898
27,2281.4545454545455,70114,2455.4545454545455,'Chiswick Road - Inbound',['Green-B'],'Chiswick Road - Inbound',Chiswick Road,68,Chiswick Road,GREEN,N,B - Boston College,503,14000US25025000503,2076,56522,0.45899999999999996,0.9291373565346168
28,1768.8,70238,1974.5142857142857,'Cleveland Circle - Inbound',['Green-C'],'Cleveland Circle - Inbound',Cleveland Circle,73,Cleveland Circle,GREEN,Y,C - Cleveland Circle,502,14000US25025000502,5904,51652,0.5076,0.8958152457023788
30,1181.9514563106795,70220,1407.4271844660195,'Coolidge Corner - Inbound',['Green-C'],'Coolidge Corner - Inbound',Coolidge Corner,71,Coolidge Corner,GREEN,N,C - Cleveland Circle,400400,14000US25021400400,5675,95278,0.5568,0.8397958127823957
31,316.3649289099526,70154,405.8293838862559,'Copley - Inbound',['Green-D' 'Green-E' 'Green-C' 'Green-B'],'Copley - Inbound',Copley,50,Copley,GREEN,N,B C D E,10600,14000US25025010600,3146,97988,0.5625,0.7795515590330492
33,1678.1559633027523,70234,1836.6880733944954,'Dean Road - Inbound',['Green-C'],'Dean Road - Inbound',Dean Road,60,Dean Road,GREEN,N,C - Cleveland Circle,400600,14000US25021400600,5323,105230,0.5345,0.9136858825468659
34,2165.704081632653,70166,2404.408163265306,'Eliot - Inbound',['Green-D'],'Eliot - Inbound',Eliot,45,Eliot,GREEN,N,D - Riverside,374200,14000US25017374200,4437,164612,0.4454,0.9007223127588783
35,1730.5882352941176,70236,1923.9882352941177,'Englewood Avenue - Inbound',['Green-C'],'Englewood Avenue - Inbound',Englewood Avenue,73,Englewood Avenue,GREEN,N,C - Cleveland Circle,400600,14000US25021400600,5323,105230,0.5345,0.8994796348271665
36,1442.7981651376147,70228,1646.3394495412845,'Fairbanks Street - Inbound',['Green-C'],'Fairbanks Street - Inbound',Fairbanks Street,73,Fairbanks Street,GREEN,N,C - Cleveland Circle,400400,14000US25021400400,5675,95278,0.5568,0.876367364907412
