,travel_time_sec,origin_id,benchmark_travel_time_sec,origin_name,route_id,STATION_x,match_name,score,STATION_y,LINE,TERMINUS,ROUTE,Geo_TRACT,Geo_GEOID,total_pop,med_incom,gini,percent_over_benchmark
5,793.2553191489362,70278,704.468085106383,'Assembly - Inbound',['Orange'],'Assembly - Inbound',Assembly,57,Assembly,ORANGE,N,Forest Hills to Oak Grove,350103,14000US25017350103,1392,100336,0.3569,1.1260344306855936
7,259.6551724137931,70015,329.29655172413794,'Back Bay - Inbound',['Orange'],'Back Bay - Inbound',Back Bay,57,Back Bay,ORANGE,N,Forest Hills to Oak Grove,70700,14000US25025070700,2736,102000,0.5551,0.7885147021864789
26,7.011764705882353,70019,120.0,'Chinatown - Inbound',['Orange'],'Chinatown - Inbound',Chinatown,60,Chinatown,ORANGE,N,Forest Hills to Oak Grove,70101,14000US25025070101,6212,83750,0.6609999999999999,0.05843137254901961
29,467.8251748251748,70028,455.2867132867133,'Community College - Inbound',['Orange'],'Community College - Inbound',Community College,74,Community College,ORANGE,N,Forest Hills to Oak Grove,40600,14000US25025040600,2973,123160,0.3825,1.027539704481922
39,1154.8680555555557,70001,1118.25,'Forest Hills Orange Line',['Orange'],'Forest Hills Orange Line',Forest Hills,63,Forest Hills,ORANGE,Y,Forest Hills to Oak Grove,110103,14000US25025110103,6547,67027,0.46299999999999997,1.032745857863229
40,16.391304347826086,70022,109.56521739130434,'State Street - to Forest Hills',['Orange'],'State Street - to Forest Hills',Forest Hills,55,Forest Hills,ORANGE,Y,Forest Hills to Oak Grove,110103,14000US25025110103,6547,67027,0.46299999999999997,0.1496031746031746
43,1011.125,70003,1058.25,'Green Street - Inbound',['Orange'],'Green Street - Inbound',Green Street,67,Green Street,ORANGE,N,Forest Hills to Oak Grove,120400,14000US25025120400,6757,84007,0.4425,0.9554689345617765
52,774.8068965517241,70007,817.9862068965517,'Jackson Square - Inbound',['Orange'],'Jackson Square - Inbound',Jackson Square,70,Jackson Square,ORANGE,N,Forest Hills to Oak Grove,81200,14000US25025081200,3416,30819,0.5137,0.9472126669364629
59,1250.3941605839416,70034,1065.1313868613138,'Malden - Inbound',['Orange'],'Malden - Inbound',Malden Center,52,Malden Center,ORANGE,N,Forest Hills to Oak Grove,341200,14000US25017341200,7725,62226,0.4921,1.1739341981730091
60,390.7241379310345,70013,449.29655172413794,'Massachusetts Avenue - Inbound',['Orange'],'Massachusetts Avenue - Inbound',Massachusetts Ave,69,Massachusetts Ave,ORANGE,N,Forest Hills to Oak Grove,10405,14000US25025010405,6015,19395,0.5112,0.8696352919506355
69,1379.8692307692309,70036,1183.8692307692309,'Oak Grove',['Orange'],'Oak Grove',Oak Grove,90,Oak Grove,ORANGE,Y,Forest Hills to Oak Grove,341101,14000US25017341101,3977,76816,0.381,1.165558826013788
80,649.1724137931035,70009,689.2965517241379,'Roxbury Crossing - Inbound',['Orange'],'Roxbury Crossing - Inbound',Roxbury Crossing,73,Roxbury Crossing,ORANGE,N,Forest Hills to Oak Grove,81400,14000US25025081400,2754,34107,0.514,0.9417897306599433
81,518.6620689655173,70011,569.2965517241379,'Ruggles - Inbound',['Orange'],'Ruggles - Inbound',Ruggles,54,Ruggles,ORANGE,N,Forest Hills to Oak Grove,10405,14000US25025010405,6015,19395,0.5112,0.9110578087900375
93,872.8333333333334,70005,938.25,'Stony Brook - Inbound',['Orange'],'Stony Brook - Inbound',Stony Brook,65,Stony Brook,ORANGE,N,Forest Hills to Oak Grove,120500,14000US25025120500,2665,68413,0.4654,0.9302779998223644
95,677.020979020979,70030,583.8461538461538,'Sullivan Square - Inbound',['Orange'],'Sullivan Square - Inbound',Sullivan Square,71,Sullivan Square,ORANGE,N,Forest Hills to Oak Grove,40600,14000US25025040600,2973,123160,0.3825,1.1595879746077375
100,113.97931034482758,70017,195.31034482758622,'Tufts Medical Center - Inbound',['Orange'],'Tufts Medical Center - Inbound',Tufts Medical Center,77,Tufts Medical Center,ORANGE,N,Forest Hills to Oak Grove,70200,14000US25025070200,5630,21712,0.71,0.5835805084745762
105,939.1970802919708,70032,835.7080291970802,'Wellington - Inbound',['Orange'],'Wellington - Inbound',Wellington,62,Wellington,ORANGE,N,Forest Hills to Oak Grove,339801,14000US25017339801,4947,86031,0.4294,1.1238339796667016
